timestamp,repositorio,tratamento,repeticao,sucesso,tempo_resposta_ms,tamanho_resposta_bytes
2026-06-24T18:55:40.776331,angular/angular,GraphQL,16,True,833.4554000002754,925
2026-06-24T18:55:43.618408,microsoft/vscode,GraphQL,9,True,597.8119000001243,766
2026-06-24T18:55:44.518103,microsoft/vscode,GraphQL,20,True,645.4545999995389,766
2026-06-24T18:55:48.850079,microsoft/vscode,GraphQL,25,True,641.0231999998359,766
2026-06-24T18:55:51.870417,facebook/react,GraphQL,12,True,643.5096000004705,801
2026-06-24T18:55:52.818086,vuejs/vue,GraphQL,13,True,553.9431000006516,990
2026-06-24T18:55:55.196846,microsoft/vscode,GraphQL,13,True,638.670500000444,766
2026-06-24T18:55:59.347028,vuejs/vue,GraphQL,29,True,620.5655999992814,990
2026-06-24T18:56:01.854299,torvalds/linux,GraphQL,0,True,640.2548999994906,176
2026-06-24T18:56:05.750556,rails/rails,GraphQL,12,True,557.6855999997861,936
2026-06-24T18:56:09.928525,microsoft/vscode,GraphQL,28,True,691.6742000003069,766
2026-06-24T18:56:12.500652,angular/angular,GraphQL,29,True,640.348200000517,925
2026-06-24T18:56:13.443223,torvalds/linux,GraphQL,1,True,609.0432999999393,176
2026-06-24T18:56:15.796441,vuejs/vue,GraphQL,0,True,551.6504999995959,990
2026-06-24T18:56:18.229204,django/django,GraphQL,2,True,562.0470000003479,209
2026-06-24T18:56:20.648154,angular/angular,GraphQL,17,True,592.3368000003393,925
2026-06-24T18:56:24.508176,torvalds/linux,GraphQL,9,True,541.51340000044,176
2026-06-24T18:56:25.351758,torvalds/linux,GraphQL,4,True,543.0154000005132,176
2026-06-24T18:56:29.665726,facebook/react,GraphQL,27,True,617.4847000002046,801
2026-06-24T18:56:30.584986,vuejs/vue,GraphQL,27,True,540.7284000002619,990
2026-06-24T18:56:33.007773,nodejs/node,GraphQL,11,True,590.0744999999006,835
2026-06-24T18:56:35.455838,facebook/react,GraphQL,21,True,601.8008999999438,801
2026-06-24T18:56:39.861126,django/django,GraphQL,13,True,530.33940000023,209
2026-06-24T18:56:40.693025,tensorflow/tensorflow,GraphQL,10,True,570.8958999994138,1006
2026-06-24T18:56:45.147206,facebook/react,GraphQL,14,True,557.1196999999302,801
2026-06-24T18:56:47.676057,vuejs/vue,GraphQL,24,True,661.6583999993964,990
2026-06-24T18:56:48.639130,vuejs/vue,GraphQL,16,True,719.7511000003942,990
2026-06-24T18:56:51.248554,tensorflow/tensorflow,GraphQL,17,True,681.7652999998245,1006
2026-06-24T18:56:54.201061,rails/rails,GraphQL,0,True,715.2353000001312,936
2026-06-24T18:56:58.775249,torvalds/linux,GraphQL,19,True,704.7142999999778,176
2026-06-24T18:57:01.672918,tensorflow/tensorflow,GraphQL,14,True,753.3223999998881,1006
